pH,CO2_frac,HCO3_frac,CO3_frac
0.0,0.9999985864281761,1.4135718224548823e-06,1.51879853015718e-15
0.014014014014014014,0.9999985400705347,1.4599294637414884e-06,1.620049095703369e-15
0.028028028028028028,0.9999984921926113,1.507807386934674e-06,1.728049518343692e-15
0.04204204204204204,0.9999984427445493,1.5572554489712275e-06,1.8432497762437806e-15
0.056056056056056056,0.9999983916748563,1.6083251418127626e-06,1.9661298452660338e-15
0.07007007007007007,0.9999983389303518,1.6610696460645813e-06,2.0972016987568025e-15
0.08408408408408408,0.9999982844561114,1.7155438863528664e-06,2.237011440648495e-15
0.0980980980980981,0.9999982281954091,1.7718045885178582e-06,2.38614158076394e-15
0.11211211211211211,0.9999981700896587,1.829910338682562e-06,2.545213461802834e-15
0.12612612612612611,0.999998110078353,1.8899216442584948e-06,2.7148898481220482e-15
0.14014014014014015,0.9999980480990003,1.951900996951979e-06,2.895877687095674e-15
0.15415415415415415,0.999997984087059,2.015912937836595e-06,3.0889310545596863e-15
0.16816816816816815,0.9999979179758722,2.082024124559519e-06,3.2948542966130974e-15
0.18218218218218218,0.9999978496965958,2.150303400751762e-06,3.5145053808655706e-15
0.1961961961961962,0.9999977791781286,2.2208218677145246e-06,3.74879947109401e-15
0.21021021021021022,0.9999977063470376,2.2936529584563377e-06,3.9987127402015715e-15
0.22422422422422422,0.9999976311274815,2.3688725141580635e-06,4.265286437365261e-15
0.23823823823823823,0.9999975534411325,2.446558863145358e-06,4.549631226317394e-15
0.25225225225225223,0.9999974732070928,2.526792902450831e-06,4.852931812835826e-15
0.26626626626626626,0.9999973903418127,2.609658182050796e-06,5.176451880722721e-15
0.2802802802802803,0.9999973047590025,2.6952409918643317e-06,5.521539356837016e-15
0.29429429429429427,0.9999972163695426,2.7836304516052135e-06,5.889632027116544e-15
0.3083083083083083,0.99999712508139,2.874918603580275e-06,6.282263526988228e-15
0.32232232232232233,0.9999970307994848,2.969200508530784e-06,6.701069731124471e-15
0.3363363363363363,0.9999969334256481,3.066574344616641e-06,7.147795569167754e-15
0.35035035035035034,0.9999968328584827,3.1671415096464257e-06,7.624302295820099e-15
0.36436436436436437,0.9999967289932653,3.271006726659728e-06,8.132575245587083e-15
0.3783783783783784,0.9999966217218383,3.3782781529716788e-06,8.674732104485325e-15
0.3923923923923924,0.9999965109324979,3.4890674927932023e-06,9.253031733176162e-15
0.4064064064064064,0.9999963965098767,3.6034901135442127e-06,9.869883578285578e-15
0.42042042042042044,0.9999962783348235,3.7216651659808727e-06,1.0527857711121125e-14
0.4344344344344344,0.9999961562842805,3.843715708261924e-06,1.1229695535610233e-14
0.44844844844844844,0.999996030231154,3.969768834083278e-06,1.1978321210072787e-14
0.4624624624624625,0.9999959000441824,4.0999558050142295e-06,1.2776853830414479e-14
0.47647647647647645,0.9999957655877992,4.234412187173063e-06,1.3628620425500065e-14
0.4904904904904905,0.9999956267219932,4.373277992384316e-06,1.4537169818849066e-14
0.5045045045045045,0.9999954833021605,4.516697823964638e-06,1.5506287414406027e-14
0.5185185185185185,0.9999953351789561,4.664821027289009e-06,1.65400109679871e-14
0.5325325325325325,0.999995182198137,4.817801845294018e-06,1.7642647410111424e-14
0.5465465465465466,0.999995024200402,4.975799579080091e-06,1.881879079030601e-14
0.5605605605605606,0.9999948610212261,5.138978753779829e-06,2.0073341417645002e-14
0.5745745745745746,0.9999946924906887,5.307509289865085e-06,2.141152627726806e-14
0.5885885885885885,0.999994518433297,5.481566680071126e-06,2.2838920807938606e-14
0.6026026026026026,0.9999943386678035,5.661332172121984e-06,2.4361472131372692e-14
0.6166166166166166,0.9999941530070164,5.846992957447198e-06,2.598552383011779e-14
0.6306306306306306,0.9999939612576063,6.038742366086397e-06,2.771784237721255e-14
0.6446446446446447,0.9999937632199024,6.236780067984512e-06,2.9565645327739245e-14
0.6586586586586587,0.9999935586876876,6.441312280887171e-06,3.1536631389722024e-14
0.6726726726726726,0.9999933474479812,6.652551985052641e-06,3.363901249965264e-14
0.6866866866866866,0.9999931292808192,6.870719145003735e-06,3.58815480362776e-14
0.7007007007007007,0.9999929039590232,7.096040938550504e-06,3.8273581315188033e-14
0.7147147147147147,0.9999926712479659,7.328751993322053e-06,4.0825078516256796e-14
0.7287287287287287,0.9999924309053254,7.569094631053574e-06,4.354667020610106e-14
0.7427427427427428,0.9999921826808339,7.817319119882918e-06,4.644969562856142e-14
0.7567567567567568,0.9999919263160155,8.073683934919148e-06,4.9546249947718856e-14
0.7707707707707707,0.9999916615439197,8.33845602735428e-06,5.284923464027186e-14
0.7847847847847848,0.9999913880888414,8.611911102398223e-06,5.637241124721625e-14
0.7987987987987988,0.9999911056660337,8.894333906326118e-06,6.013045870876494e-14
0.8128128128128128,0.9999908139814129,9.186018522936784e-06,6.413903452137249e-14
0.8268268268268268,0.999990512731252,9.487268679730688e-06,6.841483997165265e-14
0.8408408408408409,0.9999902016018629,9.79839806412605e-06,7.297568971896e-14
0.8548548548548548,0.9999898802692722,1.011973065004206e-05,7.784058601652475e-14
0.8688688688688688,0.9999895483988818,1.0451601035189021e-05,8.302979788035182e-14
0.8828828828828829,0.9999892056451221,1.0794354789416257e-05,8.856494553570831e-14
0.8968968968968969,0.9999888516510911,1.1148348814480286e-05,9.446909049300901e-14
0.9109109109109109,0.9999884860481836,1.1513951715607437e-05,1.0076683162836065e-13
0.924924924924925,0.9999881084557072,1.1891544185237522e-05,1.0748440766904039e-13
0.938938938938939,0.999987718480486,1.2281519399347689e-05,1.146498065108652e-13
0.9529529529529529,0.9999873157164509,1.2684283426768723e-05,1.222928818228699e-13
0.9669669669669669,0.9999868997442175,1.3100255651919612e-05,1.3044547742506874e-13
0.980980980980981,0.9999864701306493,1.3529869211400019e-05,1.3914155995745472e-13
0.994994994994995,0.9999860264284066,1.3973571444894728e-05,1.4841736039293256e-13
1.009009009009009,0.9999855681754808,1.443182436085918e-05,1.5831152498372016e-13
1.023023023023023,0.9999850948947138,1.4905105117470227e-05,1.6886527627005143e-13
1.037037037037037,0.9999846060933005,1.5393906519342363e-05,1.8012258482192787e-13
1.0510510510510511,0.9999841012622773,1.5898737530526058e-05,1.9213035242938004e-13
1.065065065065065,0.9999835798759906,1.642012380432148e-05,2.049386075043837e-13
1.079079079079079,0.9999830413915509,1.6958608230458677e-05,2.1860071350845119e-13
1.093093093093093,0.9999824852482666,1.751475150021307e-05,2.331735912741715e-13
1.107107107107107,0.9999819108670612,1.808913269004382e-05,2.487179561468507e-13
1.1211211211211212,0.9999813176498703,1.8682349864361998e-05,2.652985709341397e-13
1.135135135135135,0.9999807049790191,1.929502069805495e-05,2.829845157173759e-13
1.1491491491491492,0.9999800722165788,1.992778311941433e-05,3.018494756486134e-13
1.1631631631631631,0.9999794187037038,2.0581295974135803e-05,3.219720479322195e-13
1.177177177177177,0.9999787437599454,2.1256239711080888e-05,3.434360692698399e-13
1.1911911911911912,0.9999780466825431,2.1953317090513563e-05,3.6633096513275945e-13
1.2052052052052051,0.9999773267456937,2.2673253915547582e-05,3.907521223166074e-13
1.2192192192192193,0.9999765831997957,2.3416799787565142e-05,4.168012863303419e-13
1.2332332332332332,0.999975815270669,2.41847288863912e-05,4.4458698527485977e-13
1.2472472472472473,0.9999750221587498,2.4977840776034862e-05,4.742249819769543e-13
1.2612612612612613,0.9999742030382572,2.5796961236834458e-05,5.058387562619827e-13
1.2752752752752752,0.9999733570563355,2.6642943124871274e-05,5.395600193741779e-13
1.2892892892892893,0.9999724833321649,2.7516667259544458e-05,5.755292626874003e-13
1.3033033033033032,0.999971580956046,2.841904334022935e-05,6.138963429919663e-13
1.3173173173173174,0.9999706489884522,2.9351010892971357e-05,6.548211067955241e-13
1.3313313313313313,0.9999696864590534,3.03135402481984e-05,6.984740562384151e-13
1.3453453453453452,0.9999686923657044,3.130763355046773e-05,7.450370593973157e-13
1.3593593593593594,0.999967665673404,3.233432580129531e-05,7.94704107935777e-13
1.3733733733733733,0.9999666053132161,3.339468593615081e-05,8.476821252574984e-13
1.3873873873873874,0.9999655101811591,3.448981793673645e-05,9.041918285284905e-13
1.4014014014014013,0.9999643791370559,3.56208619797041e-05,9.644686481586066e-13
1.4154154154154155,0.9999632110033482,3.678899562300358e-05,1.0287637085722466e-12
1.4294294294294294,0.9999620045638715,3.799543503109296e-05,1.09734487435324e-12
1.4434434434434433,0.9999607585625893,3.924143624028293e-05,1.1704978661211886e-12
1.4574574574574575,0.9999594717022859,4.0528296465527965e-05,1.2485274507869154e-12
1.4714714714714714,0.9999581426432181,4.185735545002027e-05,1.3317587111444029e-12
1.4854854854854855,0.9999567700017206,4.3229996858986995e-05,1.4205384000870042e-12
1.4994994994994995,0.9999553523487656,4.464764971913595e-05,1.5152363850880375e-12
1.5135135135135136,0.9999538882084786,4.6111789905243604e-05,1.6162471889618247e-12
1.5275275275275275,0.9999523760566006,4.762394167542647e-05,1.723991633322042e-12
1.5415415415415414,0.9999508143189044,4.918567925668807e-05,1.838918591581982e-12
1.5555555555555556,0.9999492013695562,5.0798628482385584e-05,1.96150685879733e-12
1.5695695695695695,0.9999475355294244,5.246446848331322e-05,2.0922671461386356e-12
1.5835835835835836,0.9999458150643342,5.4184933434155825e-05,2.2317442082995574e-12
1.5975975975975976,0.9999440381832623,5.596181435712151e-05,2.3805191127003715e-12
1.6116116116116117,0.9999422030364763,5.779696098462362e-05,2.5392116599367315e-12
1.6256256256256256,0.9999403077136088,5.969228368294042e-05,2.7084829655531865e-12
1.6396396396396395,0.9999383502416722,6.164975543884607e-05,2.889038213892741e-12
1.6536536536536537,0.9999363285830072,6.367141391126993e-05,3.081629595490024e-12
1.6676676676676676,0.9999342406331629,6.575936355010821e-05,3.2870594402397607e-12
1.6816816816816818,0.9999320842187094,6.791577778438283e-05,3.5061835593872773e-12
1.6956956956956957,0.9999298570949781,7.014290128201044e-05,3.739914810256929e-12
